Dataset,Model,Preprocessor,Fold,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Optimal_Threshold,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_MCC,Error_Log
diabetes,GaussianNB,Baseline,1,0.015625,0.0,0.15201091766357422,0.0018396377563476562,0.31807433581206157,173,346,104,68,0.8224619640387276,0.47332987893154727,20,35,15,7,0.8266666666666667,0.4223683957499603,
diabetes,GaussianNB,Baseline,2,0.0,0.0,0.15072154998779297,0.0018396377563476562,0.3114673863427868,174,347,103,67,0.8264084831719687,0.47952604735388843,15,40,10,12,0.7933333333333333,0.36232865092627065,
diabetes,GaussianNB,Baseline,3,0.0,0.0,0.15072154998779297,0.0018396377563476562,0.18363263429730597,200,304,146,41,0.8292116182572615,0.48175820536895153,20,33,17,7,0.7659259259259258,0.38273618458017133,
diabetes,GaussianNB,Baseline,4,0.015625,0.0,0.15072154998779297,0.0018396377563476562,0.4951215867469744,145,381,69,96,0.813609958506224,0.4621075162791493,19,48,2,8,0.9348148148148148,0.7111111111111111,
diabetes,GaussianNB,Baseline,5,0.015625,0.0,0.15072154998779297,0.0018396377563476562,0.17025104480383116,204,295,155,37,0.8243614568925772,0.47888028485132483,25,29,21,2,0.8414814814814814,0.4922594438233207,
diabetes,GaussianNB,Baseline,6,0.0,0.015625,0.15072154998779297,0.0018396377563476562,0.20177898532770172,200,304,146,41,0.8241217150760719,0.48175820536895153,19,34,16,8,0.7992592592592592,0.3677089562999654,
diabetes,GaussianNB,Baseline,7,0.0,0.0,0.15050220489501953,0.0018396377563476562,0.5625032708198892,143,392,58,98,0.8270262793914245,0.4873919453952335,12,46,4,15,0.8192592592592594,0.4286208662612397,
diabetes,GaussianNB,Baseline,8,0.0,0.0,0.15072154998779297,0.0018396377563476562,0.3172563911635969,171,358,92,70,0.8265375749193177,0.49578300419257765,19,35,15,8,0.7740740740740741,0.3879322914310754,
diabetes,GaussianNB,Baseline,9,0.0,0.0,0.15086078643798828,0.0018396377563476562,0.5219744287256941,145,387,63,97,0.8228191000918275,0.4775693631550681,19,39,11,7,0.8438461538461539,0.49574330754818896,
diabetes,GaussianNB,Baseline,10,0.015625,0.0,0.1507730484008789,0.0018396377563476562,0.24928231404689427,185,337,113,57,0.8335812672176309,0.49439344104153227,17,35,15,9,0.74,0.3400046276937225,
diabetes,GaussianNB,Standard Scaler,1,0.015625,0.0,0.16799068450927734,0.0020761489868164062,0.3180672015456424,173,346,104,68,0.8224435223605349,0.47332987893154727,20,35,15,7,0.8266666666666667,0.4223683957499603,
diabetes,GaussianNB,Standard Scaler,2,0.0,0.0,0.16776180267333984,0.0020761489868164062,0.3114616789497868,174,347,103,67,0.8263992623328722,0.47952604735388843,15,40,10,12,0.7933333333333333,0.36232865092627065,
diabetes,GaussianNB,Standard Scaler,3,0.0,0.0,0.16776180267333984,0.0020761489868164062,0.18362739020312674,200,304,146,41,0.8292116182572615,0.48175820536895153,20,33,17,7,0.7659259259259258,0.38273618458017133,
